Metric,,,,,Accuracy,Accuracy,AUROC,AUROC,F1,F1,Support vectors,Support vectors
Model,,,,,SMO,SVC,SMO,SVC,SMO,SVC,SMO,SVC
Dataset,Kernel,C,Param,Run,,,,,,,,
Spirals,linear,0.01,0.0,1,0.4626865671641791,0.4626865671641791,0.4112903225806452,0.5089605734767024,0.6326530612244898,0.6326530612244898,12,129
Spirals,linear,0.05,0.0,1,0.43283582089552236,0.4925373134328358,0.4112903225806452,0.5161290322580645,0.5581395348837209,0.5,12,122
Spirals,linear,1.0,0.0,1,0.3880597014925373,0.5074626865671642,0.40770609318996415,0.5089605734767025,0.3880597014925373,0.547945205479452,17,119
Spirals,rbf,0.01,0.5,1,0.4626865671641791,0.4626865671641791,0.4077060931899641,0.7275985663082437,0.6326530612244898,0.6326530612244898,6,130
Spirals,rbf,0.01,1.0,1,0.4626865671641791,0.4626865671641791,0.492831541218638,0.4471326164874552,0.6326530612244898,0.6326530612244898,6,130
Spirals,rbf,0.03,2.0,1,0.4626865671641791,0.4626865671641791,0.3826164874551971,0.485663082437276,0.6326530612244898,0.6326530612244898,12,129
Spirals,poly,0.01,4.0,1,0.4626865671641791,0.4626865671641791,0.6048387096774194,0.4157706093189964,0.6326530612244898,0.6326530612244898,2,131
Spirals,poly,0.05,4.0,1,0.5074626865671642,0.4626865671641791,0.6048387096774194,0.4157706093189964,0.6526315789473685,0.6326530612244898,2,131
Spirals,poly,0.01,5.0,1,0.4626865671641791,0.4626865671641791,0.6039426523297491,0.5743727598566308,0.6326530612244898,0.21739130434782608,2,119
Spirals,poly,0.05,5.0,1,0.5373134328358209,0.582089552238806,0.6039426523297491,0.5869175627240144,0.6666666666666666,0.48148148148148145,2,114
Spirals,linear,0.01,0.0,2,0.4626865671641791,0.4626865671641791,0.6137992831541218,0.5564516129032258,0.0,0.0,8,129
Spirals,linear,0.05,0.0,2,0.582089552238806,0.5522388059701493,0.6137992831541218,0.5492831541218638,0.48148148148148145,0.4642857142857143,8,126
Spirals,linear,1.0,0.0,2,0.5522388059701493,0.5373134328358209,0.5268817204301075,0.5555555555555556,0.6153846153846154,0.45614035087719296,42,121
Spirals,rbf,0.01,0.5,2,0.4626865671641791,0.4626865671641791,0.5600358422939068,0.6299283154121864,0.0,0.0,6,130
Spirals,rbf,0.01,1.0,2,0.4626865671641791,0.4626865671641791,0.4946236559139785,0.45430107526881724,0.0,0.0,10,131
Spirals,rbf,0.03,2.0,2,0.4626865671641791,0.4626865671641791,0.4623655913978495,0.5394265232974911,0.0,0.0,12,128
Spirals,poly,0.01,4.0,2,0.44776119402985076,0.4626865671641791,0.4014336917562724,0.46415770609318996,0.4307692307692308,0.0,28,131
Spirals,poly,0.05,4.0,2,0.44776119402985076,0.4626865671641791,0.5304659498207884,0.47222222222222227,0.4307692307692308,0.0,8,131
Spirals,poly,0.01,5.0,2,0.5522388059701493,0.5074626865671642,0.5331541218637993,0.5976702508960574,0.375,0.2978723404255319,8,119
Spirals,poly,0.05,5.0,2,0.5223880597014925,0.5074626865671642,0.5770609318996416,0.6021505376344085,0.4482758620689655,0.2978723404255319,4,114
Spirals,linear,0.01,0.0,3,0.5454545454545454,0.5,0.5436179981634527,0.617998163452709,0.4827586206896552,0.5352112676056338,12,134
Spirals,linear,0.05,0.0,3,0.5454545454545454,0.5,0.5436179981634527,0.6152433425160697,0.4827586206896552,0.5352112676056338,12,132
Spirals,linear,1.0,0.0,3,0.5151515151515151,0.5303030303030303,0.3921028466483012,0.6189164370982553,0.42857142857142855,0.5230769230769231,39,126
Spirals,rbf,0.01,0.5,3,0.4696969696969697,0.6060606060606061,0.5280073461891645,0.6547291092745637,0.4444444444444444,0.6578947368421053,6,134
Spirals,rbf,0.01,1.0,3,0.5606060606060606,0.5757575757575758,0.5298438934802572,0.5693296602387512,0.5797101449275363,0.65,10,134
Spirals,rbf,0.03,2.0,3,0.4696969696969697,0.5,0.5500459136822773,0.6051423324150597,0.5679012345679012,0.5714285714285714,6,134
Spirals,poly,0.01,4.0,3,0.5151515151515151,0.45454545454545453,0.5858585858585859,0.4058769513314968,0.5,0.5714285714285714,91,134
Spirals,poly,0.05,4.0,3,0.5151515151515151,0.3939393939393939,0.4995408631772269,0.41781450872359965,0.5789473684210527,0.5348837209302325,62,133
Spirals,poly,0.01,5.0,3,0.5454545454545454,0.5757575757575758,0.5629017447199265,0.652892561983471,0.6590909090909091,0.6744186046511628,52,123
Spirals,poly,0.05,5.0,3,0.48484848484848486,0.5606060606060606,0.4499540863177226,0.6363636363636364,0.39285714285714285,0.6506024096385542,10,118
Spirals,linear,0.01,0.0,4,0.40298507462686567,0.40298507462686567,0.6361111111111111,0.5324074074074074,0.574468085106383,0.574468085106383,8,120
Spirals,linear,0.05,0.0,4,0.40298507462686567,0.40298507462686567,0.6361111111111111,0.5324074074074074,0.574468085106383,0.574468085106383,8,120
Spirals,linear,1.0,0.0,4,0.5671641791044776,0.5223880597014925,0.5175925925925926,0.5157407407407407,0.5915492957746479,0.5555555555555556,63,120
Spirals,rbf,0.01,0.5,4,0.40298507462686567,0.40298507462686567,0.34351851851851856,0.7240740740740741,0.574468085106383,0.574468085106383,6,125
Spirals,rbf,0.01,1.0,4,0.40298507462686567,0.40298507462686567,0.33425925925925926,0.5574074074074074,0.574468085106383,0.574468085106383,6,123
Spirals,rbf,0.03,2.0,4,0.40298507462686567,0.40298507462686567,0.3592592592592593,0.48240740740740734,0.574468085106383,0.574468085106383,6,124
Spirals,poly,0.01,4.0,4,0.4626865671641791,0.40298507462686567,0.4740740740740741,0.5074074074074074,0.5384615384615384,0.574468085106383,30,126
Spirals,poly,0.05,4.0,4,0.417910447761194,0.40298507462686567,0.44074074074074077,0.5277777777777777,0.5301204819277109,0.574468085106383,12,126
Spirals,poly,0.01,5.0,4,0.40298507462686567,0.5522388059701493,0.38425925925925924,0.6157407407407407,0.574468085106383,0.6428571428571429,2,117
Spirals,poly,0.05,5.0,4,0.5373134328358209,0.5074626865671642,0.524074074074074,0.6166666666666667,0.5974025974025974,0.5714285714285714,12,117
Spirals,linear,0.01,0.0,5,0.4925373134328358,0.5522388059701493,0.5,0.5641711229946524,0.0,0.21052631578947367,8,132
Spirals,linear,0.05,0.0,5,0.5074626865671642,0.47761194029850745,0.5,0.5677361853832441,0.37735849056603776,0.5333333333333333,8,126
Spirals,linear,1.0,0.0,5,0.5074626865671642,0.5223880597014925,0.42869875222816406,0.5632798573975044,0.37735849056603776,0.6097560975609756,73,120
Spirals,rbf,0.01,0.5,5,0.4925373134328358,0.4925373134328358,0.5828877005347594,0.5730837789661319,0.0,0.0,6,133
Spirals,rbf,0.01,1.0,5,0.4925373134328358,0.4925373134328358,0.6042780748663101,0.428698752228164,0.0,0.0,6,133
Spirals,rbf,0.03,2.0,5,0.5223880597014925,0.4925373134328358,0.4857397504456328,0.48930481283422456,0.1111111111111111,0.0,6,132
Spirals,poly,0.01,4.0,5,0.4925373134328358,0.373134328358209,0.6042780748663101,0.3636363636363636,0.32,0.5227272727272727,17,133
Spirals,poly,0.05,4.0,5,0.5373134328358209,0.3880597014925373,0.4126559714795009,0.35650623885918004,0.4918032786885246,0.5287356321839081,52,126
Spirals,poly,0.01,5.0,5,0.5223880597014925,0.4626865671641791,0.5383244206773619,0.6532976827094473,0.4666666666666667,0.6086956521739131,44,120
Spirals,poly,0.05,5.0,5,0.4626865671641791,0.5522388059701493,0.5133689839572193,0.642602495543672,0.45454545454545453,0.6938775510204082,10,117
Spirals,linear,0.01,0.0,6,0.4090909090909091,0.4090909090909091,0.5641025641025641,0.5849952516619183,0.0,0.0,9,123
Spirals,linear,0.05,0.0,6,0.4090909090909091,0.45454545454545453,0.5641025641025641,0.5849952516619183,0.0,0.18181818181818182,9,123
Spirals,linear,1.0,0.0,6,0.5303030303030303,0.48484848484848486,0.6125356125356125,0.5688509021842356,0.43636363636363634,0.39285714285714285,22,119
Spirals,rbf,0.01,0.5,6,0.4090909090909091,0.4090909090909091,0.4862298195631529,0.5887939221272555,0.0,0.0,6,126
Spirals,rbf,0.01,1.0,6,0.4090909090909091,0.4090909090909091,0.4824311490978158,0.5118708452041785,0.0,0.0,12,125
Spirals,rbf,0.03,2.0,6,0.4090909090909091,0.4090909090909091,0.4976258309591643,0.5584045584045585,0.0,0.0,11,123
Spirals,poly,0.01,4.0,6,0.4090909090909091,0.3484848484848485,0.5308641975308642,0.4007597340930674,0.0,0.044444444444444446,2,124
Spirals,poly,0.05,4.0,6,0.4090909090909091,0.3484848484848485,0.5308641975308642,0.4140550807217474,0.0,0.044444444444444446,2,121
Spirals,poly,0.01,5.0,6,0.4090909090909091,0.45454545454545453,0.5327635327635328,0.5897435897435898,0.0,0.14285714285714285,2,114
Spirals,poly,0.05,5.0,6,0.4090909090909091,0.48484848484848486,0.5327635327635328,0.6011396011396011,0.0,0.22727272727272727,2,108
Spirals,linear,0.01,0.0,7,0.4626865671641791,0.4626865671641791,0.5394265232974911,0.5349462365591398,0.6326530612244898,0.6326530612244898,10,129
Spirals,linear,0.05,0.0,7,0.5522388059701493,0.5074626865671642,0.5394265232974911,0.5313620071684588,0.6511627906976745,0.5352112676056338,10,125
Spirals,linear,1.0,0.0,7,0.5074626865671642,0.5223880597014925,0.485663082437276,0.5304659498207885,0.5217391304347826,0.5555555555555556,53,119
Spirals,rbf,0.01,0.5,7,0.4626865671641791,0.4626865671641791,0.4336917562724014,0.7571684587813621,0.6326530612244898,0.6326530612244898,6,131
Spirals,rbf,0.01,1.0,7,0.4626865671641791,0.4626865671641791,0.4623655913978495,0.5340501792114696,0.6326530612244898,0.6326530612244898,14,129
Spirals,rbf,0.03,2.0,7,0.4626865671641791,0.4626865671641791,0.5734767025089605,0.5295698924731183,0.6326530612244898,0.6326530612244898,12,129
Spirals,poly,0.01,4.0,7,0.4626865671641791,0.4626865671641791,0.5179211469534051,0.4310035842293907,0.6326530612244898,0.6326530612244898,2,129
Spirals,poly,0.05,4.0,7,0.4925373134328358,0.43283582089552236,0.5179211469534051,0.43458781362007165,0.6458333333333334,0.6041666666666666,2,129
Spirals,poly,0.01,5.0,7,0.4626865671641791,0.5223880597014925,0.5143369175627239,0.5716845878136201,0.6326530612244898,0.6190476190476191,2,120
Spirals,poly,0.05,5.0,7,0.4925373134328358,0.5373134328358209,0.5143369175627239,0.578853046594982,0.6382978723404256,0.6172839506172839,2,114
Spirals,linear,0.01,0.0,8,0.4925373134328358,0.4925373134328358,0.45721925133689845,0.6122994652406416,0.0,0.0,9,133
Spirals,linear,0.05,0.0,8,0.5373134328358209,0.5671641791044776,0.45721925133689845,0.6096256684491979,0.45614035087719296,0.6133333333333333,9,129
Spirals,linear,1.0,0.0,8,0.43283582089552236,0.582089552238806,0.3939393939393939,0.6212121212121212,0.36666666666666664,0.631578947368421,56,124
Spirals,rbf,0.01,0.5,8,0.4925373134328358,0.4925373134328358,0.5525846702317291,0.642602495543672,0.0,0.0,6,133
Spirals,rbf,0.01,1.0,8,0.4925373134328358,0.4925373134328358,0.5026737967914439,0.5008912655971479,0.0,0.0,10,132
Spirals,rbf,0.03,2.0,8,0.5522388059701493,0.4925373134328358,0.5142602495543672,0.5864527629233511,0.21052631578947367,0.0,10,132
Spirals,poly,0.01,4.0,8,0.4925373134328358,0.43283582089552236,0.6381461675579323,0.4411764705882353,0.0,0.5777777777777777,2,132
Spirals,poly,0.05,4.0,8,0.6268656716417911,0.417910447761194,0.6381461675579323,0.4385026737967914,0.5901639344262295,0.5806451612903226,2,129
Spirals,poly,0.01,5.0,8,0.4925373134328358,0.4925373134328358,0.6354723707664884,0.6461675579322639,0.0,0.6046511627906976,2,119
Spirals,poly,0.05,5.0,8,0.5970149253731343,0.4925373134328358,0.6354723707664884,0.6461675579322638,0.5846153846153846,0.6046511627906976,2,116
Spirals,linear,0.01,0.0,9,0.4696969696969697,0.4696969696969697,0.5649769585253457,0.600921658986175,0.0,0.0,8,130
Spirals,linear,0.05,0.0,9,0.5303030303030303,0.6060606060606061,0.5649769585253457,0.5990783410138248,0.20512820512820512,0.5185185185185185,8,128
Spirals,linear,1.0,0.0,9,0.5151515151515151,0.5909090909090909,0.6101382488479263,0.5981566820276498,0.4838709677419355,0.49056603773584906,14,122
Spirals,rbf,0.01,0.5,9,0.4696969696969697,0.4696969696969697,0.5456221198156681,0.7161290322580645,0.0,0.0,11,133
Spirals,rbf,0.01,1.0,9,0.4696969696969697,0.4696969696969697,0.4470046082949308,0.5493087557603686,0.0,0.0,6,131
Spirals,rbf,0.03,2.0,9,0.4696969696969697,0.4696969696969697,0.45806451612903226,0.5649769585253457,0.0,0.0,6,131
Spirals,poly,0.01,4.0,9,0.4696969696969697,0.3939393939393939,0.3981566820276497,0.4294930875576036,0.0,0.09090909090909091,2,131
Spirals,poly,0.05,4.0,9,0.5454545454545454,0.36363636363636365,0.5013824884792626,0.40921658986175113,0.625,0.08695652173913043,14,124
Spirals,poly,0.01,5.0,9,0.4696969696969697,0.5606060606060606,0.3972350230414747,0.623963133640553,0.0,0.2926829268292683,2,119
Spirals,poly,0.05,5.0,9,0.42424242424242425,0.5606060606060606,0.3972350230414747,0.6322580645161291,0.17391304347826086,0.2926829268292683,2,115
Iris,linear,0.01,0.0,1,0.4411764705882353,1.0,1.0,1.0,0.5957446808510638,1.0,6,60
Iris,linear,0.05,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,6,32
Iris,linear,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,5,9
Iris,rbf,0.01,0.5,1,0.4117647058823529,0.4117647058823529,1.0,1.0,0.5833333333333334,0.5833333333333334,6,62
Iris,rbf,0.01,1.0,1,0.4117647058823529,0.4117647058823529,1.0,1.0,0.5833333333333334,0.5833333333333334,8,60
Iris,rbf,0.03,2.0,1,0.4117647058823529,0.4117647058823529,1.0,1.0,0.5833333333333334,0.5833333333333334,8,60
Iris,poly,0.01,4.0,1,0.7058823529411765,0.4117647058823529,0.8785714285714286,0.4107142857142857,0.5,0.5833333333333334,2,62
Iris,poly,0.05,4.0,1,0.7352941176470589,0.4117647058823529,0.8785714285714286,0.4107142857142857,0.5263157894736842,0.5833333333333334,2,62
Iris,poly,0.01,5.0,1,0.6764705882352942,0.7352941176470589,0.8785714285714286,1.0,0.35294117647058826,0.5263157894736842,2,59
Iris,poly,0.05,5.0,1,0.6764705882352942,0.6764705882352942,0.8785714285714286,1.0,0.35294117647058826,0.717948717948718,2,51
Iris,linear,0.01,0.0,2,0.696969696969697,1.0,1.0,1.0,0.7368421052631579,1.0,8,62
Iris,linear,0.05,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,8,33
Iris,linear,1.0,0.0,2,1.0,1.0,1.0,1.0,1.0,1.0,9,8
Iris,rbf,0.01,0.5,2,0.42424242424242425,0.42424242424242425,1.0,1.0,0.5957446808510638,0.5957446808510638,4,64
Iris,rbf,0.01,1.0,2,0.42424242424242425,0.42424242424242425,1.0,1.0,0.5957446808510638,0.5957446808510638,4,63
Iris,rbf,0.03,2.0,2,0.42424242424242425,0.42424242424242425,1.0,1.0,0.5957446808510638,0.5957446808510638,4,62
Iris,poly,0.01,4.0,2,0.8484848484848485,0.42424242424242425,1.0,0.45488721804511273,0.782608695652174,0.5957446808510638,10,63
Iris,poly,0.05,4.0,2,0.9696969696969697,0.42424242424242425,1.0,0.46616541353383456,0.9629629629629629,0.5957446808510638,5,61
Iris,poly,0.01,5.0,2,1.0,0.45454545454545453,1.0,1.0,1.0,0.6086956521739131,26,58
Iris,poly,0.05,5.0,2,0.9090909090909091,0.8484848484848485,1.0,1.0,0.88,0.8484848484848485,5,52
Iris,linear,0.01,0.0,3,0.3333333333333333,0.8181818181818182,1.0,1.0,0.0,0.8421052631578947,6,56
Iris,linear,0.05,0.0,3,0.8787878787878788,1.0,1.0,1.0,0.9,1.0,6,33
Iris,linear,1.0,0.0,3,0.9090909090909091,1.0,0.9958677685950413,1.0,0.926829268292683,1.0,9,8
Iris,rbf,0.01,0.5,3,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,4,58
Iris,rbf,0.01,1.0,3,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,0.0,4,56
Iris,rbf,0.03,2.0,3,0.3333333333333333,0.3333333333333333,0.9958677685950413,1.0,0.0,0.0,4,56
Iris,poly,0.01,4.0,3,0.7272727272727273,0.3333333333333333,0.9008264462809917,0.5909090909090909,0.7692307692307693,0.0,5,57
Iris,poly,0.05,4.0,3,0.9090909090909091,0.36363636363636365,0.9297520661157025,0.5991735537190082,0.9361702127659575,0.08695652173913043,4,57
Iris,poly,0.01,5.0,3,0.7272727272727273,0.5454545454545454,0.9090909090909091,0.9380165289256198,0.7567567567567568,0.4827586206896552,4,52
Iris,poly,0.05,5.0,3,0.8787878787878788,0.5454545454545454,0.9297520661157025,0.9256198347107438,0.9166666666666666,0.5161290322580645,4,46
Iris,linear,0.01,0.0,4,0.38235294117647056,0.8529411764705882,1.0,1.0,0.0,0.8648648648648649,6,58
Iris,linear,0.05,0.0,4,0.9117647058823529,1.0,1.0,1.0,0.9230769230769231,1.0,6,32
Iris,linear,1.0,0.0,4,1.0,1.0,1.0,1.0,1.0,1.0,5,9
Iris,rbf,0.01,0.5,4,0.38235294117647056,0.38235294117647056,0.9926739926739927,1.0,0.0,0.0,4,59
Iris,rbf,0.01,1.0,4,0.38235294117647056,0.38235294117647056,0.9926739926739927,1.0,0.0,0.0,4,59
Iris,rbf,0.03,2.0,4,0.38235294117647056,0.38235294117647056,0.9926739926739927,1.0,0.0,0.0,4,58
Iris,poly,0.01,4.0,4,0.6176470588235294,0.38235294117647056,1.0,0.5384615384615384,0.5517241379310345,0.0,2,60
Iris,poly,0.05,4.0,4,0.6176470588235294,0.4117647058823529,1.0,0.5457875457875457,0.5517241379310345,0.09090909090909091,2,59
Iris,poly,0.01,5.0,4,0.5882352941176471,0.5294117647058824,1.0,1.0,0.5,0.38461538461538464,2,54
Iris,poly,0.05,5.0,4,0.5882352941176471,0.6176470588235294,1.0,1.0,0.5,0.5517241379310345,2,47
Iris,linear,0.01,0.0,5,0.9393939393939394,0.9393939393939394,1.0,1.0,0.9375,0.9375,6,62
Iris,linear,0.05,0.0,5,0.9393939393939394,1.0,1.0,1.0,0.9375,1.0,6,33
Iris,linear,1.0,0.0,5,0.9393939393939394,1.0,1.0,1.0,0.9375,1.0,6,8
Iris,rbf,0.01,0.5,5,0.48484848484848486,0.48484848484848486,1.0,1.0,0.0,0.0,4,66
Iris,rbf,0.01,1.0,5,0.48484848484848486,0.48484848484848486,1.0,1.0,0.0,0.0,4,66
Iris,rbf,0.03,2.0,5,0.7272727272727273,0.48484848484848486,1.0,1.0,0.64,0.0,4,66
Iris,poly,0.01,4.0,5,0.8181818181818182,0.5151515151515151,1.0,0.5220588235294117,0.7857142857142857,0.1111111111111111,4,66
Iris,poly,0.05,4.0,5,0.7878787878787878,0.5151515151515151,1.0,0.46691176470588236,0.7407407407407407,0.1111111111111111,3,66
Iris,poly,0.01,5.0,5,0.7272727272727273,0.6060606060606061,1.0,1.0,0.64,0.38095238095238093,3,60
Iris,poly,0.05,5.0,5,0.7272727272727273,0.6363636363636364,1.0,1.0,0.64,0.45454545454545453,3,50
Iris,linear,0.01,0.0,6,0.36363636363636365,0.9090909090909091,1.0,1.0,0.5333333333333333,0.8888888888888888,6,59
Iris,linear,0.05,0.0,6,0.9696969696969697,0.9696969696969697,1.0,1.0,0.96,0.96,6,34
Iris,linear,1.0,0.0,6,1.0,0.9696969696969697,1.0,1.0,1.0,0.96,6,9
Iris,rbf,0.01,0.5,6,0.36363636363636365,0.36363636363636365,1.0,1.0,0.5333333333333333,0.5333333333333333,6,61
Iris,rbf,0.01,1.0,6,0.36363636363636365,0.36363636363636365,1.0,1.0,0.5333333333333333,0.5333333333333333,6,58
Iris,rbf,0.03,2.0,6,0.36363636363636365,0.36363636363636365,0.9960317460317459,1.0,0.5333333333333333,0.5333333333333333,6,60
Iris,poly,0.01,4.0,6,0.9696969696969697,0.36363636363636365,0.988095238095238,0.5079365079365079,0.96,0.5333333333333333,10,61
Iris,poly,0.05,4.0,6,0.9393939393939394,0.42424242424242425,1.0,0.5079365079365079,0.9090909090909091,0.5581395348837209,16,61
Iris,poly,0.01,5.0,6,0.8484848484848485,0.48484848484848486,0.9801587301587302,0.9682539682539681,0.7368421052631579,0.5853658536585366,7,57
Iris,poly,0.05,5.0,6,1.0,0.6666666666666666,1.0,0.9682539682539681,1.0,0.6857142857142857,8,51
Iris,linear,0.01,0.0,7,0.7352941176470589,0.9705882352941176,1.0,1.0,0.7804878048780488,0.967741935483871,4,62
Iris,linear,0.05,0.0,7,1.0,1.0,1.0,1.0,1.0,1.0,4,34
Iris,linear,1.0,0.0,7,1.0,1.0,1.0,1.0,1.0,1.0,8,8
Iris,rbf,0.01,0.5,7,0.47058823529411764,0.47058823529411764,0.9965277777777778,1.0,0.64,0.64,8,65
Iris,rbf,0.01,1.0,7,0.47058823529411764,0.47058823529411764,0.9722222222222222,1.0,0.64,0.64,6,65
Iris,rbf,0.03,2.0,7,0.47058823529411764,0.47058823529411764,0.9756944444444444,1.0,0.64,0.64,6,64
Iris,poly,0.01,4.0,7,0.8235294117647058,0.4411764705882353,0.982638888888889,0.5486111111111112,0.7692307692307693,0.6122448979591837,5,64
Iris,poly,0.05,4.0,7,0.9705882352941176,0.4411764705882353,0.9965277777777778,0.5381944444444444,0.967741935483871,0.5777777777777777,4,63
Iris,poly,0.01,5.0,7,0.8823529411764706,0.7352941176470589,0.9965277777777779,0.9895833333333334,0.8571428571428571,0.6086956521739131,4,59
Iris,poly,0.05,5.0,7,1.0,0.7941176470588235,1.0,1.0,1.0,0.8205128205128205,10,53
Iris,linear,0.01,0.0,8,0.6666666666666666,0.9696969696969697,1.0,0.9962406015037594,0.717948717948718,0.9655172413793104,6,62
Iris,linear,0.05,0.0,8,0.9696969696969697,0.9696969696969697,1.0,1.0,0.9655172413793104,0.9655172413793104,6,32
Iris,linear,1.0,0.0,8,1.0,0.9696969696969697,1.0,1.0,1.0,0.9655172413793104,7,8
Iris,rbf,0.01,0.5,8,0.42424242424242425,0.42424242424242425,0.9962406015037594,1.0,0.5957446808510638,0.5957446808510638,4,64
Iris,rbf,0.01,1.0,8,0.42424242424242425,0.42424242424242425,1.0,1.0,0.5957446808510638,0.5957446808510638,4,63
Iris,rbf,0.03,2.0,8,0.42424242424242425,0.42424242424242425,1.0,1.0,0.5957446808510638,0.5957446808510638,4,62
Iris,poly,0.01,4.0,8,0.8181818181818182,0.42424242424242425,0.9398496240601504,0.42857142857142855,0.75,0.5957446808510638,6,62
Iris,poly,0.05,4.0,8,0.9696969696969697,0.45454545454545453,0.9511278195488722,0.38345864661654133,0.9655172413793104,0.6086956521739131,7,62
Iris,poly,0.01,5.0,8,0.6666666666666666,0.6060606060606061,0.8834586466165414,0.9548872180451128,0.42105263157894735,0.6829268292682927,4,58
Iris,poly,0.05,5.0,8,0.6666666666666666,0.7575757575757576,0.8834586466165414,0.9511278195488722,0.42105263157894735,0.6363636363636364,4,50
Iris,linear,0.01,0.0,9,0.5757575757575758,0.8787878787878788,1.0,1.0,0.46153846153846156,0.8888888888888888,6,61
Iris,linear,0.05,0.0,9,1.0,1.0,1.0,1.0,1.0,1.0,6,33
Iris,linear,1.0,0.0,9,1.0,1.0,1.0,1.0,1.0,1.0,10,8
Iris,rbf,0.01,0.5,9,0.3939393939393939,0.3939393939393939,1.0,1.0,0.0,0.0,8,61
Iris,rbf,0.01,1.0,9,0.3939393939393939,0.3939393939393939,1.0,1.0,0.0,0.0,8,60
Iris,rbf,0.03,2.0,9,0.3939393939393939,0.3939393939393939,1.0,1.0,0.0,0.0,8,60
Iris,poly,0.01,4.0,9,0.6666666666666666,0.3939393939393939,0.8884615384615385,0.5230769230769231,0.6451612903225806,0.0,2,61
Iris,poly,0.05,4.0,9,0.6666666666666666,0.45454545454545453,0.8884615384615385,0.5038461538461538,0.6451612903225806,0.18181818181818182,2,61
Iris,poly,0.01,5.0,9,0.6666666666666666,0.5757575757575758,0.8923076923076924,1.0,0.6206896551724138,0.46153846153846156,2,57
Iris,poly,0.05,5.0,9,0.6666666666666666,0.5757575757575758,0.8923076923076924,1.0,0.6206896551724138,0.46153846153846156,2,47
Circles,linear,0.01,0.0,1,0.3235294117647059,0.3235294117647059,0.48221343873517786,0.48221343873517786,0.4888888888888889,0.4888888888888889,4,55
Circles,linear,0.05,0.0,1,0.3235294117647059,0.3235294117647059,0.48221343873517786,0.47430830039525695,0.4888888888888889,0.4888888888888889,4,56
Circles,linear,1.0,0.0,1,0.4411764705882353,0.3235294117647059,0.48221343873517786,0.4980237154150197,0.3448275862068966,0.4888888888888889,4,56
Circles,rbf,0.01,0.5,1,0.3235294117647059,0.3235294117647059,0.683794466403162,1.0,0.4888888888888889,0.4888888888888889,10,58
Circles,rbf,0.01,1.0,1,0.3235294117647059,0.3235294117647059,0.6996047430830039,1.0,0.4888888888888889,0.4888888888888889,10,59
