Dataset,Kernel,Dataset size,C,Sigma,Degree,Support_Vectors,Boundary_Vectors,Test accuracy
Model linear,linear,100,0.01,,,55,52,0.73
Model linear,linear,100,0.1,,,33,30,1.0
Model linear,linear,100,1.0,,,10,10,1.0
Model linear,linear,100,5.0,,,4,1,1.0
Model linear,linear,100,10.0,,,3,0,1.0
Model linear,linear,100,100.0,,,3,0,1.0
Model linear,rbf,100,0.01,2.2,,57,51,0.73
Model linear,rbf,100,0.1,2.2,,51,47,0.98
Model linear,rbf,100,1.0,2.2,,17,9,1.0
Model linear,rbf,100,5.0,2.2,,9,0,1.0
Model linear,rbf,100,10.0,2.2,,9,0,1.0
Model linear,rbf,100,100.0,2.2,,9,0,1.0
Model linear,poly,100,0.01,,3.0,40,37,0.86
Model linear,poly,100,0.1,,3.0,22,19,0.97
Model linear,poly,100,1.0,,3.0,12,4,1.0
Model linear,poly,100,5.0,,3.0,6,0,1.0
Model linear,poly,100,10.0,,3.0,6,0,1.0
Model linear,poly,100,100.0,,3.0,6,0,1.0
Model linear,poly,100,0.01,,4.0,48,42,0.79
Model linear,poly,100,0.1,,4.0,43,36,0.8
Model linear,poly,100,1.0,,4.0,38,30,0.81
Model linear,poly,100,5.0,,4.0,37,30,0.84
Model linear,poly,100,10.0,,4.0,35,22,0.8
Model linear,poly,100,100.0,,4.0,47,7,0.6
Model linear,poly,100,0.01,,5.0,31,21,0.93
Model linear,poly,100,0.1,,5.0,18,9,0.98
Model linear,poly,100,1.0,,5.0,11,3,0.99
Model linear,poly,100,5.0,,5.0,8,0,0.98
Model linear,poly,100,10.0,,5.0,8,0,0.98
Model linear,poly,100,100.0,,5.0,8,0,0.98
Model nonlinear,linear,100,0.01,,,100,100,0.73
Model nonlinear,linear,100,0.1,,,100,98,0.73
Model nonlinear,linear,100,1.0,,,95,92,0.71
Model nonlinear,linear,100,5.0,,,95,92,0.72
Model nonlinear,linear,100,10.0,,,95,92,0.72
Model nonlinear,linear,100,100.0,,,95,92,0.72
Model nonlinear,rbf,100,0.01,2.2,,100,100,1.0
Model nonlinear,rbf,100,0.1,2.2,,65,57,1.0
Model nonlinear,rbf,100,1.0,2.2,,16,8,1.0
Model nonlinear,rbf,100,5.0,2.2,,7,0,1.0
Model nonlinear,rbf,100,10.0,2.2,,7,0,1.0
Model nonlinear,rbf,100,100.0,2.2,,7,0,1.0
Model nonlinear,poly,100,0.01,,3.0,100,98,0.56
Model nonlinear,poly,100,0.1,,3.0,99,95,0.65
Model nonlinear,poly,100,1.0,,3.0,96,80,0.6
Model nonlinear,poly,100,5.0,,3.0,75,30,0.66
Model nonlinear,poly,100,10.0,,3.0,78,26,0.73
Model nonlinear,poly,100,100.0,,3.0,21,0,0.4
Model nonlinear,poly,100,0.01,,4.0,26,22,0.99
Model nonlinear,poly,100,0.1,,4.0,8,4,1.0
Model nonlinear,poly,100,1.0,,4.0,5,0,1.0
Model nonlinear,poly,100,5.0,,4.0,5,0,1.0
Model nonlinear,poly,100,10.0,,4.0,5,0,1.0
Model nonlinear,poly,100,100.0,,4.0,5,0,1.0
Model nonlinear,poly,100,0.01,,5.0,55,42,0.46
Model nonlinear,poly,100,0.1,,5.0,90,63,0.34
Model nonlinear,poly,100,1.0,,5.0,75,16,0.41
Model nonlinear,poly,100,5.0,,5.0,20,1,0.43
Model nonlinear,poly,100,10.0,,5.0,20,0,0.39
Model nonlinear,poly,100,100.0,,5.0,20,0,0.39
Spirals,linear,200,0.01,,,200,200,0.53
Spirals,linear,200,0.1,,,186,184,0.515
Spirals,linear,200,1.0,,,183,180,0.525
Spirals,linear,200,5.0,,,183,180,0.525
Spirals,linear,200,10.0,,,183,180,0.525
Spirals,linear,200,100.0,,,183,180,0.525
Spirals,rbf,200,0.01,2.2,,200,200,0.565
Spirals,rbf,200,0.1,2.2,,200,200,0.565
Spirals,rbf,200,1.0,2.2,,190,174,0.605
Spirals,rbf,200,5.0,2.2,,180,163,0.68
Spirals,rbf,200,10.0,2.2,,175,152,0.675
Spirals,rbf,200,100.0,2.2,,142,111,0.845
Spirals,poly,200,0.01,,3.0,153,149,0.59
Spirals,poly,200,0.1,,3.0,121,113,0.54
Spirals,poly,200,1.0,,3.0,12,6,0.535
Spirals,poly,200,5.0,,3.0,15,8,0.54
Spirals,poly,200,10.0,,3.0,27,12,0.545
Spirals,poly,200,100.0,,3.0,57,9,0.54
Spirals,poly,200,0.01,,4.0,200,196,0.515
Spirals,poly,200,0.1,,4.0,36,17,0.5
Spirals,poly,200,1.0,,4.0,21,14,0.5
Spirals,poly,200,5.0,,4.0,8,3,0.495
Spirals,poly,200,10.0,,4.0,45,11,0.495
Spirals,poly,200,100.0,,4.0,17,4,0.485
Spirals,poly,200,0.01,,5.0,169,163,0.59
Spirals,poly,200,0.1,,5.0,48,26,0.545
Spirals,poly,200,1.0,,5.0,23,13,0.545
Spirals,poly,200,5.0,,5.0,43,10,0.485
Spirals,poly,200,10.0,,5.0,20,6,0.515
Spirals,poly,200,100.0,,5.0,58,2,0.58
Iris,linear,100,0.01,,,82,80,0.99
Iris,linear,100,0.1,,,31,27,0.99
Iris,linear,100,1.0,,,10,8,0.99
Iris,linear,100,5.0,,,4,2,1.0
Iris,linear,100,10.0,,,4,1,1.0
Iris,linear,100,100.0,,,3,0,1.0
Iris,rbf,100,0.01,2.2,,100,100,0.99
Iris,rbf,100,0.1,2.2,,61,55,0.99
Iris,rbf,100,1.0,2.2,,21,8,0.99
Iris,rbf,100,5.0,2.2,,12,2,1.0
Iris,rbf,100,10.0,2.2,,11,0,1.0
Iris,rbf,100,100.0,2.2,,11,0,1.0
Iris,poly,100,0.01,,3.0,66,64,0.97
Iris,poly,100,0.1,,3.0,36,32,1.0
Iris,poly,100,1.0,,3.0,18,14,1.0
Iris,poly,100,5.0,,3.0,8,8,1.0
Iris,poly,100,10.0,,3.0,8,5,1.0
Iris,poly,100,100.0,,3.0,4,0,1.0
Iris,poly,100,0.01,,4.0,91,85,0.6
Iris,poly,100,0.1,,4.0,87,81,0.6
Iris,poly,100,1.0,,4.0,16,10,0.51
Iris,poly,100,5.0,,4.0,19,6,0.48
Iris,poly,100,10.0,,4.0,18,5,0.53
Iris,poly,100,100.0,,4.0,18,0,0.47
Iris,poly,100,0.01,,5.0,58,55,0.93
Iris,poly,100,0.1,,5.0,39,35,0.96
Iris,poly,100,1.0,,5.0,24,21,0.98
Iris,poly,100,5.0,,5.0,14,12,0.98
Iris,poly,100,10.0,,5.0,13,10,0.98
Iris,poly,100,100.0,,5.0,7,2,1.0
Circles,linear,100,0.01,,,100,100,0.51
Circles,linear,100,0.1,,,100,100,0.51
Circles,linear,100,1.0,,,100,100,0.51
Circles,linear,100,5.0,,,100,98,0.51
Circles,linear,100,10.0,,,100,98,0.5
Circles,linear,100,100.0,,,100,97,0.52
Circles,rbf,100,0.01,2.2,,100,100,0.99
Circles,rbf,100,0.1,2.2,,100,100,0.99
Circles,rbf,100,1.0,2.2,,91,83,0.99
Circles,rbf,100,5.0,2.2,,42,31,1.0
Circles,rbf,100,10.0,2.2,,32,18,1.0
Circles,rbf,100,100.0,2.2,,16,2,1.0
Circles,poly,100,0.01,,3.0,100,100,0.53
Circles,poly,100,0.1,,3.0,100,100,0.53
Circles,poly,100,1.0,,3.0,100,96,0.52
Circles,poly,100,5.0,,3.0,100,95,0.6
Circles,poly,100,10.0,,3.0,99,94,0.44
Circles,poly,100,100.0,,3.0,87,5,0.39
Circles,poly,100,0.01,,4.0,81,75,1.0
Circles,poly,100,0.1,,4.0,23,17,1.0
Circles,poly,100,1.0,,4.0,9,3,1.0
Circles,poly,100,5.0,,4.0,6,0,1.0
Circles,poly,100,10.0,,4.0,6,0,1.0
Circles,poly,100,100.0,,4.0,6,0,1.0
Circles,poly,100,0.01,,5.0,100,100,0.67
Circles,poly,100,0.1,,5.0,100,97,0.69
Circles,poly,100,1.0,,5.0,88,78,0.7
Circles,poly,100,5.0,,5.0,93,56,0.68
Circles,poly,100,10.0,,5.0,92,18,0.39
Circles,poly,100,100.0,,5.0,92,0,0.33
Moons,linear,200,0.01,,,128,126,0.855
Moons,linear,200,0.1,,,75,72,0.865
Moons,linear,200,1.0,,,62,59,0.87
Moons,linear,200,5.0,,,61,58,0.865
Moons,linear,200,10.0,,,61,58,0.865
Moons,linear,200,100.0,,,61,58,0.865
Moons,rbf,200,0.01,2.2,,200,200,0.88
Moons,rbf,200,0.1,2.2,,107,99,0.91
Moons,rbf,200,1.0,2.2,,45,36,0.99
Moons,rbf,200,5.0,2.2,,20,13,0.995
Moons,rbf,200,10.0,2.2,,16,6,0.995
Moons,rbf,200,100.0,2.2,,12,1,1.0
Moons,poly,200,0.01,,3.0,90,87,0.845
Moons,poly,200,0.1,,3.0,60,56,0.86
Moons,poly,200,1.0,,3.0,47,44,0.915
Moons,poly,200,5.0,,3.0,43,38,0.915
Moons,poly,200,10.0,,3.0,43,38,0.915
Moons,poly,200,100.0,,3.0,50,29,0.85
Moons,poly,200,0.01,,4.0,200,197,0.505
Moons,poly,200,0.1,,4.0,197,192,0.54
Moons,poly,200,1.0,,4.0,184,177,0.535
Moons,poly,200,5.0,,4.0,186,169,0.51
Moons,poly,200,10.0,,4.0,186,151,0.54
Moons,poly,200,100.0,,4.0,178,21,0.525
Moons,poly,200,0.01,,5.0,74,70,0.89
Moons,poly,200,0.1,,5.0,60,55,0.875
Moons,poly,200,1.0,,5.0,50,45,0.905
Moons,poly,200,5.0,,5.0,45,39,0.91
Moons,poly,200,10.0,,5.0,44,37,0.91
Moons,poly,200,100.0,,5.0,26,21,0.41
